Node,GeneratorTechnology,Period,generatorMaxInstalledCapacityByPeriod_in_MW
Bulgaria,Wind_onshr,6,1414
Croatia,Wind_onshr,6,9201
CzechR,Wind_onshr,6,3379
Denmark,Wind_onshr,6,8922
Estonia,Wind_onshr,6,2739
Finland,Wind_onshr,6,30373
France,Wind_onshr,6,120043
Germany,Wind_onshr,6,114492
GreatBrit.,Wind_onshr,6,61115
Greece,Wind_onshr,6,27358
Hungary,Wind_onshr,6,3355
Ireland,Wind_onshr,6,16366
Italy,Wind_onshr,6,34834
Latvia,Wind_onshr,6,4645
Lithuania,Wind_onshr,6,12559
Luxemb.,Wind_onshr,6,662
Macedonia,Wind_onshr,6,2031
NO1,Wind_onshr,6,1758
NO2,Wind_onshr,6,4372
NO3,Wind_onshr,6,2200
NO4,Wind_onshr,6,2477
NO5,Wind_onshr,6,2808
Netherlands,Wind_onshr,6,30091
Poland,Wind_onshr,6,54005
Portugal,Wind_onshr,6,11004
Romania,Wind_onshr,6,8457
Serbia,Wind_onshr,6,11815
Slovakia,Wind_onshr,6,3266
Slovenia,Wind_onshr,6,1924
Spain,Wind_onshr,6,69309
Sweden,Wind_onshr,6,59728
Switzerland,Wind_onshr,6,875
Austria,Wind_onshr,7,16328
Belgium,Wind_onshr,7,14133
BosniaH,Wind_onshr,7,2875
Bulgaria,Wind_onshr,7,1623
Croatia,Wind_onshr,7,11878
CzechR,Wind_onshr,7,4891
Denmark,Wind_onshr,7,9957
Estonia,Wind_onshr,7,3563
Finland,Wind_onshr,7,30914
France,Wind_onshr,7,157801
Germany,Wind_onshr,7,121544
GreatBrit.,Wind_onshr,7,76262
Greece,Wind_onshr,7,34341
Hungary,Wind_onshr,7,4839
Ireland,Wind_onshr,7,19131
Italy,Wind_onshr,7,42343
Latvia,Wind_onshr,7,5906
Lithuania,Wind_onshr,7,14898
Luxemb.,Wind_onshr,7,674
Macedonia,Wind_onshr,7,2574
NO1,Wind_onshr,7,1793
NO2,Wind_onshr,7,4497
NO3,Wind_onshr,7,2200
NO4,Wind_onshr,7,2501
NO5,Wind_onshr,7,2887
Netherlands,Wind_onshr,7,35042
Poland,Wind_onshr,7,66064
Portugal,Wind_onshr,7,12524
Romania,Wind_onshr,7,10254
Serbia,Wind_onshr,7,13495
Slovakia,Wind_onshr,7,4646
Slovenia,Wind_onshr,7,2394
Spain,Wind_onshr,7,80355
Sweden,Wind_onshr,7,62576
Switzerland,Wind_onshr,7,912
Austria,Solar,1,7294
Belgium,Solar,1,8789
BosniaH,Solar,1,500
Bulgaria,Solar,1,4055
Croatia,Solar,1,500
CzechR,Solar,1,4008
Denmark,Solar,1,4391
Estonia,Solar,1,812
Finland,Solar,1,900
France,Solar,1,24500
Germany,Solar,1,96000
GreatBrit.,Solar,1,16900
Greece,Solar,1,7030
Hungary,Solar,1,5835
Ireland,Solar,1,738
Italy,Solar,1,37000
Latvia,Solar,1,500
Lithuania,Solar,1,1165
Luxemb.,Solar,1,500
Macedonia,Solar,1,535
NO1,Solar,1,500
NO2,Solar,1,500
NO3,Solar,1,500
NO4,Solar,1,500
NO5,Solar,1,500
Netherlands,Solar,1,24261
Poland,Solar,1,15809
Portugal,Solar,1,3876
Romania,Solar,1,1917
Serbia,Solar,1,500
Slovakia,Solar,1,647
Slovenia,Solar,1,1110
Spain,Solar,1,38592
Sweden,Solar,1,3488
Switzerland,Solar,1,5840
Austria,Solar,2,18820
Belgium,Solar,2,14191
BosniaH,Solar,2,1039
Bulgaria,Solar,2,10366
Croatia,Solar,2,1689
CzechR,Solar,2,6252
Denmark,Solar,2,11005
Estonia,Solar,2,2556
Finland,Solar,2,2399
France,Solar,2,47517
Germany,Solar,2,152072
GreatBrit.,Solar,2,25328
Greece,Solar,2,12491
Hungary,Solar,2,15071
Ireland,Solar,2,2783
Italy,Solar,2,57635
Latvia,Solar,2,1762
Lithuania,Solar,2,4255
Luxemb.,Solar,2,1007
Macedonia,Solar,2,2204
NO1,Solar,2,1648
NO2,Solar,2,1766
NO3,Solar,2,1672
NO4,Solar,2,1700
NO5,Solar,2,1720
Netherlands,Solar,2,44531
Poland,Solar,2,46593
Portugal,Solar,2,9674
Romania,Solar,2,2827
Serbia,Solar,2,1050
Slovakia,Solar,2,830
Slovenia,Solar,2,2654
Spain,Solar,2,105373
Sweden,Solar,2,9530
Switzerland,Solar,2,11265
Austria,Solar,3,39593
Belgium,Solar,3,21509
BosniaH,Solar,3,2111
Bulgaria,Solar,3,22623
Croatia,Solar,3,5217
CzechR,Solar,3,9609
Denmark,Solar,3,24768
Estonia,Solar,3,7002
Finland,Solar,3,6032
France,Solar,3,90079
Germany,Solar,3,225615
GreatBrit.,Solar,3,37549
Greece,Solar,3,21112
Hungary,Solar,3,34000
Ireland,Solar,3,10083
Italy,Solar,3,87665
Latvia,Solar,3,5507
Lithuania,Solar,3,13466
Luxemb.,Solar,3,1741
Macedonia,Solar,3,7266
NO1,Solar,3,4328
NO2,Solar,3,5578
NO3,Solar,3,4552
NO4,Solar,3,4823
NO5,Solar,3,5038
Netherlands,Solar,3,61687
Poland,Solar,3,121574
Portugal,Solar,3,21119
Romania,Solar,3,4156
Serbia,Solar,3,2184
Slovakia,Solar,3,1064
Slovenia,Solar,3,5737
Spain,Solar,3,229478
Sweden,Solar,3,23025
Switzerland,Solar,3,20470
Austria,Solar,4,62494
Belgium,Solar,4,30102
BosniaH,Solar,4,4116
Bulgaria,Solar,4,38446
Croatia,Solar,4,12849
CzechR,Solar,4,14449
Denmark,Solar,4,45976
Estonia,Solar,4,14421
Finland,Solar,4,13336
France,Solar,4,163929
Germany,Solar,4,309013
GreatBrit.,Solar,4,54811
Greece,Solar,4,33132
Hungary,Solar,4,60910
Ireland,Solar,4,32041
Italy,Solar,4,128925
Latvia,Solar,4,12903
Lithuania,Solar,4,30487
Luxemb.,Solar,4,2495
Macedonia,Solar,4,14906
NO1,Solar,4,7713
NO2,Solar,4,13354
NO3,Solar,4,8503
NO4,Solar,4,9565
NO5,Solar,4,10502
Netherlands,Solar,4,70761
Poland,Solar,4,247973
Portugal,Solar,4,36966
Romania,Solar,4,6078
Serbia,Solar,4,4451
Slovakia,Solar,4,1362
Slovenia,Solar,4,10409
Spain,Solar,4,363154
Sweden,Solar,4,44203
Switzerland,Solar,4,33864
Austria,Solar,5,77347
Belgium,Solar,5,38649
BosniaH,Solar,5,7454
Bulgaria,Solar,5,50818
Croatia,Solar,5,21999
CzechR,Solar,5,21068
Denmark,Solar,5,67202
Estonia,Solar,5,20999
Finland,Solar,5,23728
France,Solar,5,278950
Germany,Solar,5,389327
GreatBrit.,Solar,5,78309
Greece,Solar,5,47284
Hungary,Solar,5,84410
Ireland,Solar,5,74333
Italy,Solar,5,181349
Latvia,Solar,5,20224
Lithuania,Solar,5,45233
Luxemb.,Solar,5,3042
Macedonia,Solar,5,19474
NO1,Solar,5,9777
NO2,Solar,5,21405
NO3,Solar,5,11104
NO4,Solar,5,13018
NO5,Solar,5,14846
Netherlands,Solar,5,74404
Poland,Solar,5,369728
Portugal,Solar,5,50769
Romania,Solar,5,8824
Serbia,Solar,5,8714
Slovakia,Solar,5,1742
Slovenia,Solar,5,15185
Spain,Solar,5,443985
Sweden,Solar,5,64174
Switzerland,Solar,5,49562
Austria,Solar,6,83973
Belgium,Solar,6,45857
BosniaH,Solar,6,12071
Bulgaria,Solar,6,57229
Croatia,Solar,6,27585
CzechR,Solar,6,29499
Denmark,Solar,6,80996
Estonia,Solar,6,24273
Finland,Solar,6,33039
France,Solar,6,431071
Germany,Solar,6,455379
GreatBrit.,Solar,6,108733
Greece,Solar,6,60975
Hungary,Solar,6,97664
Ireland,Solar,6,113463
Italy,Solar,6,241720
Latvia,Solar,6,23876
Lithuania,Solar,6,51680
Luxemb.,Solar,6,3347
Macedonia,Solar,6,20904
NO1,Solar,6,10537
NO2,Solar,6,25563
NO3,Solar,6,12102
NO4,Solar,6,14423
NO5,Solar,6,16711
Netherlands,Solar,6,75702
Poland,Solar,6,437819
Portugal,Solar,6,58712
Romania,Solar,6,12679
Serbia,Solar,6,15895
Slovakia,Solar,6,2224
Slovenia,Solar,6,18457
Spain,Solar,6,477180
Sweden,Solar,6,75753
Switzerland,Solar,6,63901
Austria,Solar,7,86432
Belgium,Solar,7,51136
BosniaH,Solar,7,17051
Bulgaria,Solar,7,59857
Croatia,Solar,7,29732
CzechR,Solar,7,39313
Denmark,Solar,7,87631
Estonia,Solar,7,25446
Finland,Solar,7,38504
France,Solar,7,593986
Germany,Solar,7,503003
GreatBrit.,Solar,7,145673
Greece,Solar,7,71922
Hungary,Solar,7,103374
Ireland,Solar,7,131557
Italy,Solar,7,303848
Latvia,Solar,7,25098
Lithuania,Solar,7,53652
Luxemb.,Solar,7,3492
Macedonia,Solar,7,21252
NO1,Solar,7,10763
NO2,Solar,7,26977
NO3,Solar,7,12403
NO4,Solar,7,14855
NO5,Solar,7,17298
Netherlands,Solar,7,76144
Poland,Solar,7,464940
Portugal,Solar,7,62240
Romania,Solar,7,17959
Serbia,Solar,7,25999
Slovakia,Solar,7,2835
Slovenia,Solar,7,20133
Spain,Solar,7,488597
Sweden,Solar,7,80678
Switzerland,Solar,7,74307
Belgium,Wind_offshr_floating,1,0
Borssele,Wind_offshr_floating,1,0
Denmark,Wind_offshr_floating,1,0
DoggerBank,Wind_offshr_floating,1,0
EastAnglia,Wind_offshr_floating,1,0
FirthofForth,Wind_offshr_floating,1,0
France,Wind_offshr_floating,1,0
Germany,Wind_offshr_floating,1,0
GreatBrit.,Wind_offshr_floating,1,0
HelgoländerBucht,Wind_offshr_floating,1,0
HollandseeKust,Wind_offshr_floating,1,0
Hornsea,Wind_offshr_floating,1,0
MorayFirth,Wind_offshr_floating,1,0
Netherlands,Wind_offshr_floating,1,0
Nordsøen,Wind_offshr_floating,1,0
Norfolk,Wind_offshr_floating,1,0
OuterDowsing,Wind_offshr_floating,1,0
Belgium,Wind_offshr_floating,2,0
Borssele,Wind_offshr_floating,2,0
Denmark,Wind_offshr_floating,2,0
DoggerBank,Wind_offshr_floating,2,0
EastAnglia,Wind_offshr_floating,2,0
Estonia,Wind_offshr_floating,2,0
Finland,Wind_offshr_floating,2,0
FirthofForth,Wind_offshr_floating,2,443
France,Wind_offshr_floating,2,57
Germany,Wind_offshr_floating,2,0
GreatBrit.,Wind_offshr_floating,2,0
HelgoländerBucht,Wind_offshr_floating,2,0
HollandseeKust,Wind_offshr_floating,2,0
Hornsea,Wind_offshr_floating,2,0
Ireland,Wind_offshr_floating,2,19
Italy,Wind_offshr_floating,2,0
Latvia,Wind_offshr_floating,2,0
Lithuania,Wind_offshr_floating,2,0
MorayFirth,Wind_offshr_floating,2,186
NO2,Wind_offshr_floating,2,0
Netherlands,Wind_offshr_floating,2,0
Nordsøen,Wind_offshr_floating,2,0
Norfolk,Wind_offshr_floating,2,0
OuterDowsing,Wind_offshr_floating,2,0
Poland,Wind_offshr_floating,2,0
Portugal,Wind_offshr_floating,2,18
Spain,Wind_offshr_floating,2,18
Sweden,Wind_offshr_floating,2,19
SørligeNordsjøI,Wind_offshr_floating,2,8
SørligeNordsjøII,Wind_offshr_floating,2,27
UtsiraNord,Wind_offshr_floating,2,12
Belgium,Wind_offshr_floating,3,0
Borssele,Wind_offshr_floating,3,0
Denmark,Wind_offshr_floating,3,0
DoggerBank,Wind_offshr_floating,3,0
EastAnglia,Wind_offshr_floating,3,0
Estonia,Wind_offshr_floating,3,0
Finland,Wind_offshr_floating,3,0
FirthofForth,Wind_offshr_floating,3,1359
France,Wind_offshr_floating,3,213
Germany,Wind_offshr_floating,3,0
GreatBrit.,Wind_offshr_floating,3,0
HelgoländerBucht,Wind_offshr_floating,3,0
HollandseeKust,Wind_offshr_floating,3,0
Hornsea,Wind_offshr_floating,3,0
Ireland,Wind_offshr_floating,3,72
Italy,Wind_offshr_floating,3,0
Latvia,Wind_offshr_floating,3,0
Lithuania,Wind_offshr_floating,3,0
MorayFirth,Wind_offshr_floating,3,570
NO2,Wind_offshr_floating,3,0
Netherlands,Wind_offshr_floating,3,0
Nordsøen,Wind_offshr_floating,3,0
Norfolk,Wind_offshr_floating,3,0
OuterDowsing,Wind_offshr_floating,3,0
Poland,Wind_offshr_floating,3,0
Portugal,Wind_offshr_floating,3,62
Spain,Wind_offshr_floating,3,66
Sweden,Wind_offshr_floating,3,69
SørligeNordsjøI,Wind_offshr_floating,3,31
SørligeNordsjøII,Wind_offshr_floating,3,97
UtsiraNord,Wind_offshr_floating,3,45
Belgium,Wind_offshr_floating,4,0
Borssele,Wind_offshr_floating,4,0
Denmark,Wind_offshr_floating,4,0
DoggerBank,Wind_offshr_floating,4,0
EastAnglia,Wind_offshr_floating,4,0
Estonia,Wind_offshr_floating,4,0
Finland,Wind_offshr_floating,4,0
FirthofForth,Wind_offshr_floating,4,2920
France,Wind_offshr_floating,4,578
Germany,Wind_offshr_floating,4,0
GreatBrit.,Wind_offshr_floating,4,0
HelgoländerBucht,Wind_offshr_floating,4,0
HollandseeKust,Wind_offshr_floating,4,0
Hornsea,Wind_offshr_floating,4,0
Ireland,Wind_offshr_floating,4,199
Italy,Wind_offshr_floating,4,0
Latvia,Wind_offshr_floating,4,0
Lithuania,Wind_offshr_floating,4,0
MorayFirth,Wind_offshr_floating,4,1226
NO2,Wind_offshr_floating,4,0
Netherlands,Wind_offshr_floating,4,0
Nordsøen,Wind_offshr_floating,4,0
Norfolk,Wind_offshr_floating,4,0
OuterDowsing,Wind_offshr_floating,4,0
Poland,Wind_offshr_floating,4,0
Portugal,Wind_offshr_floating,4,155
Spain,Wind_offshr_floating,4,173
Sweden,Wind_offshr_floating,4,188
SørligeNordsjøI,Wind_offshr_floating,4,82
SørligeNordsjøII,Wind_offshr_floating,4,260
UtsiraNord,Wind_offshr_floating,4,121
Belgium,Wind_offshr_floating,5,0
Borssele,Wind_offshr_floating,5,0
Denmark,Wind_offshr_floating,5,0
DoggerBank,Wind_offshr_floating,5,0
EastAnglia,Wind_offshr_floating,5,0
Estonia,Wind_offshr_floating,5,0
Finland,Wind_offshr_floating,5,0
FirthofForth,Wind_offshr_floating,5,5151
France,Wind_offshr_floating,5,1320
Germany,Wind_offshr_floating,5,0
GreatBrit.,Wind_offshr_floating,5,0
HelgoländerBucht,Wind_offshr_floating,5,0
HollandseeKust,Wind_offshr_floating,5,0
Hornsea,Wind_offshr_floating,5,0
Ireland,Wind_offshr_floating,5,463
Italy,Wind_offshr_floating,5,0
Latvia,Wind_offshr_floating,5,0
Lithuania,Wind_offshr_floating,5,0
MorayFirth,Wind_offshr_floating,5,2162
NO2,Wind_offshr_floating,5,0
Netherlands,Wind_offshr_floating,5,0
Nordsøen,Wind_offshr_floating,5,0
Norfolk,Wind_offshr_floating,5,0
OuterDowsing,Wind_offshr_floating,5,0
Poland,Wind_offshr_floating,5,0
Portugal,Wind_offshr_floating,5,318
Spain,Wind_offshr_floating,5,383
Sweden,Wind_offshr_floating,5,450
SørligeNordsjøI,Wind_offshr_floating,5,189
SørligeNordsjøII,Wind_offshr_floating,5,596
UtsiraNord,Wind_offshr_floating,5,278
Belgium,Wind_offshr_floating,6,0
Borssele,Wind_offshr_floating,6,0
Denmark,Wind_offshr_floating,6,0
DoggerBank,Wind_offshr_floating,6,0
EastAnglia,Wind_offshr_floating,6,0
Estonia,Wind_offshr_floating,6,0
Finland,Wind_offshr_floating,6,0
FirthofForth,Wind_offshr_floating,6,7877
France,Wind_offshr_floating,6,2600
Germany,Wind_offshr_floating,6,0
GreatBrit.,Wind_offshr_floating,6,0
HelgoländerBucht,Wind_offshr_floating,6,0
HollandseeKust,Wind_offshr_floating,6,0
Hornsea,Wind_offshr_floating,6,0
Ireland,Wind_offshr_floating,6,935
Italy,Wind_offshr_floating,6,0
Latvia,Wind_offshr_floating,6,0
Lithuania,Wind_offshr_floating,6,0
MorayFirth,Wind_offshr_floating,6,3306
NO2,Wind_offshr_floating,6,0
Netherlands,Wind_offshr_floating,6,0
Nordsøen,Wind_offshr_floating,6,0
Norfolk,Wind_offshr_floating,6,0
OuterDowsing,Wind_offshr_floating,6,0
Poland,Wind_offshr_floating,6,0
Portugal,Wind_offshr_floating,6,558
Spain,Wind_offshr_floating,6,742
Sweden,Wind_offshr_floating,6,976
SørligeNordsjøI,Wind_offshr_floating,6,383
SørligeNordsjøII,Wind_offshr_floating,6,1211
UtsiraNord,Wind_offshr_floating,6,565
Belgium,Wind_offshr_floating,7,0
Borssele,Wind_offshr_floating,7,0
Denmark,Wind_offshr_floating,7,0
DoggerBank,Wind_offshr_floating,7,0
EastAnglia,Wind_offshr_floating,7,0
Estonia,Wind_offshr_floating,7,0
Finland,Wind_offshr_floating,7,0
FirthofForth,Wind_offshr_floating,7,10818
France,Wind_offshr_floating,7,4423
Germany,Wind_offshr_floating,7,0
GreatBrit.,Wind_offshr_floating,7,0
HelgoländerBucht,Wind_offshr_floating,7,0
HollandseeKust,Wind_offshr_floating,7,0
Hornsea,Wind_offshr_floating,7,0
Ireland,Wind_offshr_floating,7,1638
Italy,Wind_offshr_floating,7,0
Latvia,Wind_offshr_floating,7,0
Lithuania,Wind_offshr_floating,7,0
MorayFirth,Wind_offshr_floating,7,4541
NO2,Wind_offshr_floating,7,0
Netherlands,Wind_offshr_floating,7,0
Nordsøen,Wind_offshr_floating,7,0
Norfolk,Wind_offshr_floating,7,0
OuterDowsing,Wind_offshr_floating,7,0
Poland,Wind_offshr_floating,7,0
Portugal,Wind_offshr_floating,7,855
Spain,Wind_offshr_floating,7,1262
Sweden,Wind_offshr_floating,7,1931
SørligeNordsjøI,Wind_offshr_floating,7,691
SørligeNordsjøII,Wind_offshr_floating,7,2182
UtsiraNord,Wind_offshr_floating,7,1019
Belgium,Wind_offshr_grounded,1,2262
Borssele,Wind_offshr_grounded,1,3739
Denmark,Wind_offshr_grounded,1,2650
DoggerBank,Wind_offshr_grounded,1,3681
EastAnglia,Wind_offshr_grounded,1,2807
FirthofForth,Wind_offshr_grounded,1,1138
France,Wind_offshr_grounded,1,1483
Germany,Wind_offshr_grounded,1,8407
GreatBrit.,Wind_offshr_grounded,1,0
HelgoländerBucht,Wind_offshr_grounded,1,7166
HollandseeKust,Wind_offshr_grounded,1,357
Hornsea,Wind_offshr_grounded,1,2599
MorayFirth,Wind_offshr_grounded,1,2415
Netherlands,Wind_offshr_grounded,1,0
Nordsøen,Wind_offshr_grounded,1,1120
Norfolk,Wind_offshr_grounded,1,60
OuterDowsing,Wind_offshr_grounded,1,2809
Belgium,Wind_offshr_grounded,2,3303
Borssele,Wind_offshr_grounded,2,7654
Denmark,Wind_offshr_grounded,2,4780
DoggerBank,Wind_offshr_grounded,2,5812
EastAnglia,Wind_offshr_grounded,2,4342
Estonia,Wind_offshr_grounded,2,57
Finland,Wind_offshr_grounded,2,925
FirthofForth,Wind_offshr_grounded,2,1884
France,Wind_offshr_grounded,2,2778
Germany,Wind_offshr_grounded,2,17213
GreatBrit.,Wind_offshr_grounded,2,0
HelgoländerBucht,Wind_offshr_grounded,2,14126
HollandseeKust,Wind_offshr_grounded,2,800
Hornsea,Wind_offshr_grounded,2,4113
Ireland,Wind_offshr_grounded,2,940
Italy,Wind_offshr_grounded,2,921
Latvia,Wind_offshr_grounded,2,61
Lithuania,Wind_offshr_grounded,2,59
MorayFirth,Wind_offshr_grounded,2,3731
NO2,Wind_offshr_grounded,2,0
Netherlands,Wind_offshr_grounded,2,466
Nordsøen,Wind_offshr_grounded,2,2011
Norfolk,Wind_offshr_grounded,2,220
OuterDowsing,Wind_offshr_grounded,2,4336
Poland,Wind_offshr_grounded,2,82
Portugal,Wind_offshr_grounded,2,880
Spain,Wind_offshr_grounded,2,897
Sweden,Wind_offshr_grounded,2,910
SørligeNordsjøI,Wind_offshr_grounded,2,8
SørligeNordsjøII,Wind_offshr_grounded,2,5
UtsiraNord,Wind_offshr_grounded,2,0
Belgium,Wind_offshr_grounded,3,4452
Borssele,Wind_offshr_grounded,3,14252
Denmark,Wind_offshr_grounded,3,8377
DoggerBank,Wind_offshr_grounded,3,8706
EastAnglia,Wind_offshr_grounded,3,6362
Estonia,Wind_offshr_grounded,3,186
Finland,Wind_offshr_grounded,3,1698
FirthofForth,Wind_offshr_grounded,3,2961
France,Wind_offshr_grounded,3,5103
Germany,Wind_offshr_grounded,3,28737
GreatBrit.,Wind_offshr_grounded,3,0
HelgoländerBucht,Wind_offshr_grounded,3,22702
HollandseeKust,Wind_offshr_grounded,3,1635
Hornsea,Wind_offshr_grounded,3,6175
Ireland,Wind_offshr_grounded,3,1737
Italy,Wind_offshr_grounded,3,1674
Latvia,Wind_offshr_grounded,3,220
Lithuania,Wind_offshr_grounded,3,196
MorayFirth,Wind_offshr_grounded,3,5457
NO2,Wind_offshr_grounded,3,0
Netherlands,Wind_offshr_grounded,3,1854
Nordsøen,Wind_offshr_grounded,3,3506
Norfolk,Wind_offshr_grounded,3,527
OuterDowsing,Wind_offshr_grounded,3,6342
Poland,Wind_offshr_grounded,3,385
Portugal,Wind_offshr_grounded,3,1500
Spain,Wind_offshr_grounded,3,1581
Sweden,Wind_offshr_grounded,3,1647
SørligeNordsjøI,Wind_offshr_grounded,3,31
SørligeNordsjøII,Wind_offshr_grounded,3,19
UtsiraNord,Wind_offshr_grounded,3,0
Belgium,Wind_offshr_grounded,4,5530
Borssele,Wind_offshr_grounded,4,22808
